"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","166.940","174.040","178.760","164.000","125.31M","-4.60%"
"11/01/2025","174.990","174.850","186.440","171.000","105.56M","0.08%"
"10/01/2025","174.850","184.110","185.070","169.140","156.36M","-5.22%"
"09/01/2025","184.480","170.050","187.290","167.100","132.65M","8.07%"
"08/01/2025","170.700","168.890","172.990","163.210","99.76M","1.53%"
"07/01/2025","168.120","171.520","177.500","155.500","123.81M","-1.98%"
"06/01/2025","171.520","172.100","178.390","165.000","114.68M","0.03%"
"05/01/2025","171.460","163.000","180.820","158.620","167.11M","1.74%"
"04/01/2025","168.520","142.490","170.000","134.610","155.58M","18.73%"
"03/01/2025","141.930","145.490","151.350","141.250","139.27M","-2.01%"
"02/01/2025","144.840","144.000","157.490","143.170","153.40M","1.15%"
"01/01/2025","143.200","134.790","150.590","134.770","145.20M","6.89%"
"12/01/2024","133.970","135.380","146.520","131.600","126.35M","-1.00%"
"11/01/2024","135.330","139.330","150.290","132.760","157.54M","-2.87%"
"10/01/2024","139.330","139.500","157.470","137.010","157.62M","-0.12%"
"09/01/2024","139.500","136.450","148.960","132.630","157.59M","2.42%"
"08/01/2024","136.210","140.190","144.750","130.040","161.52M","-2.44%"
"07/01/2024","139.610","141.620","151.390","137.620","150.16M","-2.07%"
"06/01/2024","142.560","159.900","159.900","131.500","325.67M","-11.66%"
"05/01/2024","161.370","169.990","179.130","153.270","163.98M","-4.82%"
"04/01/2024","169.550","176.990","184.280","168.020","114.01M","-3.87%"
"03/01/2024","176.370","176.590","181.590","166.010","97.37M","0.09%"
"02/01/2024","176.220","175.000","190.120","174.280","96.20M","0.66%"
"01/01/2024","175.060","171.190","177.310","161.560","103.61M","2.52%"
"12/01/2023","170.760","161.890","178.190","156.810","92.98M","5.73%"
"11/01/2023","161.510","146.890","164.890","146.790","101.07M","10.38%"
"10/01/2023","146.320","146.630","153.880","137.750","125.69M","0.14%"
"09/01/2023","146.110","145.290","154.150","142.020","104.70M","1.17%"
"08/01/2023","144.420","158.300","158.590","142.820","112.21M","-9.00%"
"07/01/2023","158.710","141.200","159.020","140.110","103.65M","12.39%"
"06/01/2023","141.210","142.790","147.290","135.010","134.06M","-0.41%"
"05/01/2023","141.790","155.300","158.440","141.050","151.74M","-8.80%"
"04/01/2023","155.480","151.320","159.380","144.610","77.37M","2.36%"
"03/01/2023","151.900","154.440","163.750","137.350","179.41M","-1.64%"
"02/01/2023","154.440","156.140","165.980","151.010","113.51M","-1.12%"
"01/01/2023","156.190","139.910","159.790","139.910","99.93M","11.64%"
"12/01/2022","139.910","154.690","155.340","139.300","107.97M","-9.33%"
"11/01/2022","154.300","161.110","167.790","147.220","131.28M","-4.19%"
"10/01/2022","161.050","129.490","165.970","128.810","186.54M","24.54%"
"09/01/2022","129.320","118.980","139.930","115.730","132.91M","8.69%"
"08/01/2022","118.980","115.810","128.200","109.010","147.13M","2.58%"
"07/01/2022","115.990","112.000","120.880","108.540","145.98M","3.41%"
"06/01/2022","112.170","127.540","127.650","106.120","161.31M","-12.09%"
"05/01/2022","127.590","135.090","143.970","119.830","183.76M","-5.29%"
"04/01/2022","134.710","149.990","150.690","133.730","162.19M","-9.92%"
"03/01/2022","149.550","137.930","162.280","129.940","239.90M","7.95%"
"02/01/2022","138.540","131.500","142.990","120.600","148.06M","5.97%"
"01/01/2022","130.740","133.490","150.500","125.910","154.02M","-1.71%"
