"no. portafolio","w1 walmex","w2 gfnorte","rend_esperado","varianza","desv","sharp_ratio"
1,"0%","100%",0.00774314091070816,0.00538152984573249,0.0733589111542182,0.0342127157817079
2,"5%","95%",0.00719789253443458,0.00511105242481407,0.0714916248578396,0.0274795712785624
3,"10%","90%",0.006652644158161,0.00485741213005025,0.0696951370617079,0.0203645603504734
4,"15%","85%",0.00610739578188741,0.00462060896144104,0.067975061319877,0.0128585753595855
5,"20%","80%",0.00556214740561383,0.00440064291898642,0.0663373418142936,0.00495669653452481
6,"25%","75%",0.00501689902934025,0.00419751400268641,0.0647882242594008,-0.00334064263169988
7,"30%","70%",0.00447165065306666,0.004011222212541,0.0633342104438114,-0.0120264020807904
8,"35%","65%",0.00392640227679308,0.00384176754855018,0.061981993744556,-0.0210856569397631
9,"40%","60%",0.0033811539005195,0.00368915001071397,0.0607383734612146,-0.0304943864523566
10,"45%","55%",0.00283590552424591,0.00355336959903236,0.0596101467791547,-0.0402184517003368
11,"50%","50%",0.00229065714797233,0.00343442631350535,0.0586039786491101,-0.0502129079491378
12,"55%","45%",0.00174540877169875,0.00333232015413294,0.0577262518628478,-0.0604218089530837
13,"60%","40%",0.00120016039542516,0.00324705112091514,0.0569829020050325,-0.0707786510689114
14,"65%","35%",0.000654912019151581,0.00317861921385193,0.0563792445306952,-0.0812075676482161
15,"70%","30%",0.000109663642877998,0.00312702443294332,0.0559198035846275,-0.0916253162924886
16,"75%","25%",-0.000435584733395585,0.00309226677818932,0.0556081538822259,-0.101944007685191
17,"80%","20%",-0.000980833109669168,0.00307434624958991,0.0554467875497752,-0.112074417970996
18,"85%","15%",-0.00152608148594275,0.00307326284714511,0.0554370169394522,-0.121929627394249
19,"90%","10%",-0.00207132986221633,0.0030890165708549,0.0555789220015547,-0.131428659147893
20,"95%","5%",-0.00261657823848992,0.0031216074207193,0.0558713470458633,-0.140499772904696
21,"100%","0%",-0.0031618266147635,0.0031710353967383,0.0563119471936311,-0.149083105210866
