"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","56.130","62.240","62.240","55.480","398.44M","-9.45%"
"11/01/2025","61.990","61.420","63.970","60.020","288.19M","0.93%"
"10/01/2025","61.420","56.250","63.500","53.990","621.68M","8.57%"
"09/01/2025","56.570","55.510","57.500","55.000","556.97M","1.53%"
"08/01/2025","55.720","55.210","58.340","53.510","479.04M","0.20%"
"07/01/2025","55.610","62.150","63.440","50.790","757.58M","-10.52%"
"06/01/2025","62.150","63.720","65.670","59.740","397.31M","-2.43%"
"05/01/2025","63.700","62.130","67.340","60.130","456.18M","2.49%"
"04/01/2025","62.150","56.400","64.240","54.560","491.54M","10.27%"
"03/01/2025","56.360","54.500","58.760","52.690","587.89M","3.64%"
"02/01/2025","54.380","54.390","59.500","53.690","732.62M","1.23%"
"01/01/2025","53.720","55.240","58.560","53.510","415.64M","-2.13%"
"12/01/2024","54.890","54.160","62.790","53.400","480.13M","1.84%"
"11/01/2024","53.900","55.380","56.700","51.580","471.21M","-2.04%"
"10/01/2024","55.020","59.490","61.750","54.690","549.14M","-7.01%"
"09/01/2024","59.170","62.780","63.500","58.040","421.40M","-5.74%"
"08/01/2024","62.770","62.000","64.300","58.690","506.40M","1.31%"
"07/01/2024","61.960","62.490","68.740","60.800","479.51M","-0.48%"
"06/01/2024","62.260","63.310","64.190","59.360","524.37M","-2.40%"
"05/01/2024","63.790","64.370","69.450","63.110","424.05M","-0.20%"
"04/01/2024","63.920","67.340","68.250","62.730","348.17M","-4.60%"
"03/01/2024","67.000","67.900","68.540","65.330","274.65M","-1.83%"
"02/01/2024","68.250","71.110","73.500","67.500","369.68M","-4.02%"
"01/01/2024","71.110","71.500","72.420","65.800","380.31M","-0.64%"
"12/01/2023","71.570","67.980","72.390","64.790","243.36M","5.11%"
"11/01/2023","68.090","64.210","70.660","63.990","290.42M","5.52%"
"10/01/2023","64.530","65.880","67.050","59.280","399.24M","-1.63%"
"09/01/2023","65.600","67.440","68.040","61.790","391.30M","-2.34%"
"08/01/2023","67.170","69.710","71.040","66.610","338.55M","-3.64%"
"07/01/2023","69.710","67.720","70.540","66.910","251.76M","2.94%"
"06/01/2023","67.720","67.220","70.190","66.000","428.50M","0.74%"
"05/01/2023","67.220","72.400","75.290","66.710","398.67M","-7.27%"
"04/01/2023","72.490","72.130","72.890","69.840","226.51M","0.64%"
"03/01/2023","72.030","71.870","75.090","70.610","294.38M","0.03%"
"02/01/2023","72.010","73.910","75.610","70.010","227.53M","-2.37%"
"01/01/2023","73.760","68.590","76.420","68.410","230.54M","7.54%"
"12/01/2022","68.590","76.400","76.670","68.210","251.90M","-10.60%"
"11/01/2022","76.720","76.650","79.150","70.520","308.22M","0.25%"
"10/01/2022","76.530","71.060","78.350","70.110","298.82M","8.05%"
"09/01/2022","70.830","65.970","77.240","65.870","314.74M","7.58%"
"08/01/2022","65.840","73.700","74.590","64.810","259.95M","-10.83%"
"07/01/2022","73.840","69.680","74.790","67.620","229.95M","6.51%"
"06/01/2022","69.330","72.510","74.520","65.310","310.47M","-4.73%"
"05/01/2022","72.770","72.180","78.810","68.010","429.33M","0.85%"
"04/01/2022","72.160","82.000","82.930","71.830","239.10M","-11.91%"
"03/01/2022","81.920","77.790","82.930","73.610","427.87M","5.16%"
"02/01/2022","77.900","70.530","78.140","69.150","278.44M","11.06%"
"01/01/2022","70.140","76.490","76.790","68.500","271.79M","-7.82%"
